name,enumeration_type,npi,taxonomy,phone,address_1,city,state,postal_code
1 COMMUNITY WELLNESS & HEALTH INC,NPI-2,1417184599,Family Medicine,626-960-5369,14461 MERCED AVE STE 203,BALDWIN PARK,CA,917065174
1 FAMILY CLINIC INC,NPI-2,1487344586,"Family Medicine, Geriatric Medicine",213-263-9095,701 N ALVARADO ST STE B,LOS ANGELES,CA,900264005
1 MEDLIFE MOBILE INC.,NPI-2,1992271639,Family Medicine,951-378-6444,860 E LA HABRA BLVD STE 240-A Unit 9,LA HABRA,CA,906310815
1 TRUE HEALTH - CALIFORNIA PC,NPI-2,1033959770,Family Medicine,833-313-9509,4320 VIEWRIDGE AVE STE C,SAN DIEGO,CA,921231690
1150 MAIN STREET INC,NPI-2,1912347261,Family Medicine,831-728-0551,1150 MAIN ST STE 3,WATSONVILLE,CA,950763760
123 CLINIC AND ACUPUNCTURE,NPI-2,1770979619,Acupuncturist,626-593-1233,18800 AMAR RD,WALNUT,CA,917894166
123 MEDICAL GROUP CORP.,NPI-2,1588029771,Acupuncturist,626-788-9691,18800 AMAR RD STE C12,WALNUT,CA,917894561
1ST MEDICAL HEALTH PC,NPI-2,1912304999,Family Medicine,818-554-4456,801 S CHEVY CHASE DR STE 103 Building 3,GLENDALE,CA,912054437
1ST STOP URGENT CARE & FAMILY PRACTICE,NPI-2,1023443009,Family Medicine,805-388-3732,2275 LAS POSAS RD,CAMARILLO,CA,930103344
1ST STOP URGENT CARE & FAMILY PRACTICE TORRANCE,NPI-2,1902231285,Family Medicine,805-388-3732,2406 TORRANCE BLVD Unit 9,TORRANCE,CA,905012401
31 AESTHETICS & WELLNESS INC,NPI-2,1447007828,"Pharmacist, Pharmacist Clinician (PhC)/ Clinical Pharmacy Specialist",3149016547,311 E LIVE OAK AVE,ARCADIA,CA,910065618
"360 FAMILY CLINIC, INC.",NPI-2,1235749623,Family Medicine,714-884-0417,14361 BEACH BLVD STE 203 Building 3,WESTMINSTER,CA,926838140
5 STAR MEDICAL INC.,NPI-2,1528128360,Family Medicine,714-926-6900,8251 LA PALMA AVE # 240,BUENA PARK,CA,906203205
5 STAR PAIN RELIEF PC,NPI-2,1154766566,Family Medicine,8567287583,44530 SAN PABLO AVE,PALM DESERT,CA,922603596
888 MEDICAL CLINIC & SPA,NPI-2,1427834027,Family Medicine,310-844-6751,16661 VENTURA BLVD STE 703,ENCINO,CA,914364815
9-FIVE CLINICS INC,NPI-2,1437875390,"Family Medicine, Adult Medicine",3517891559,9041 MAGNOLIA AVE STE 302,RIVERSIDE,CA,925033957
90265 MEDICAL GROUP INC.,NPI-2,1487140935,"Family Medicine, Addiction Medicine",310-341-0188,23661 PACIFIC COAST HIGHWAY,MALIBU,CA,90265
"9AMHEALTH MEDICAL GROUP, P.A.",NPI-2,1982304713,Family Medicine,202-932-9958,1688 MERIDIAN AVE STE 600&700,MIAMI BEACH,FL,331392710
A AMOLI MD INC,NPI-2,1366499832,Family Medicine,510-636-1622,6170 THORNTON AVE,NEWARK,CA,945603700
A AND S MEDICAL CENTER INC,NPI-2,1134965536,Family Medicine,747-353-9900,301 W HUNTINGTON DR STE 112,ARCADIA,CA,910073478
A C URGENT CARE INC,NPI-2,1114457538,Chiropractor,714-634-4884,1000 S ANAHEIM BLVD STE 200,ANAHEIM,CA,928055803
A DIOP FAMILY CARE MEDICAL GROUP INC.,NPI-2,1023145240,"Family Medicine, Adolescent Medicine",323-778-4310,2704 W MANCHESTER BLVD,INGLEWOOD,CA,903052436
A GREGORY CARUSO MD INC,NPI-2,1215149745,Family Medicine,760-568-4939,73211 FRED WARING DR Floor 4,PALM DESERT,CA,922602871
A R JAYARAM MD A PROFESSIONAL CORP,NPI-2,1760431571,Family Medicine,925-455-4120,1250 CONCANNON BLVD,LIVERMORE,CA,945506002
A SUN MEDICAL CLINIC CO,NPI-2,1447477898,Pediatrics,626-308-0660,288 S SAN GABRIEL BLVD,SAN GABRIEL,CA,917761668
A THOMAS PARSA MD A PROFESSIONAL CORPORATION,NPI-2,1164688610,Family Medicine,714-996-9708,2864 E IMPERIAL HWY,BREA,CA,928216714
A TU SALUD A MEDICAL CORPORATION,NPI-2,1568567600,Family Medicine,909-262-4020,10563 MILLS AVE,MONTCLAIR,CA,917634610
"A&A BALANCED HEALTH, APC",NPI-2,1134829260,Family Medicine,909-575-0357,9210 COLIMA RD STE 108,WHITTIER,CA,906051829
